residue,drugbank_id,associated_mbss
010,DB06770,[75959]
017,DB01264,"[120349, 120353]"
022,DB12206,"[125089, 125091]"
059,DB06835,[116246]
08J,DB00683,"[73301, 73302, 73303]"
08Y,DB01200,"[70525, 73450, 73451, 73518, 73519, 73520, 73521]"
097,DB00786,"[96910, 96943, 107408, 121752, 121760]"
099,DB06837,"[121754, 121762]"
0A9,DB06838,[125007]
0MO,DB06842,[2502]
0T3,DB21746,"[56886, 56887, 56888, 56889, 56890, 56891, 71147, 71148, 71149, 71150, 71151, 71152]"
0V5,DB01733,"[87208, 87209, 87210, 87211]"
111,DB02367,[103597]
113,DB02593,"[104005, 104006, 104025, 104026, 105147, 105148, 105180, 105181]"
122,DB02287,[103694]
128,DB02524,"[80913, 80914]"
12H,DB03704,"[72840, 72843, 76497, 105710, 105712]"
13P,DB04326,"[61963, 62281, 90084, 90085, 90086, 90087, 98147, 98148, 98149, 98150, 103039, 103040, 103041, 103042, 117136, 117138, 117140, 117142, 117748, 117749, 120441, 120443, 120445, 120447, 124942, 124948, 125008, 125014, 125018, 125024, 134809, 134835, 134836]"
141,DB05262,"[54413, 54414, 55208, 55209, 58111, 58112]"
144,DB03570,"[7916, 7917, 9437, 9438, 98890, 98902, 106481, 106496]"
14W,DB02044,"[65165, 65166, 66199, 66200, 66211, 66212, 66242, 66243]"
152,DB02648,"[35592, 35593, 35594, 35599, 35600, 35601, 35644, 35645, 35646, 35779, 35780, 35781, 35840, 35841, 35842]"
16D,DB03260,"[79919, 79920, 79921, 79922, 79923, 79924, 79925, 79926, 79927, 79928, 79929, 79930]"
174,DB03728,[75895]
198,DB02932,[71130]
1A2,DB06879,"[68761, 68762, 68842, 68843]"
1AC,DB02085,"[99828, 99829, 99830, 99831]"
1AL,DB04380,"[86753, 86754]"
1BN,DB04581,"[110871, 110876, 110923, 110924, 110925, 110926, 110927, 110928, 124560]"
1CM,DB06890,[67083]
1DB,DB06893,"[111708, 111710]"
1DO,DB06894,"[111718, 111720]"
1FH,DB02468,"[77254, 77257]"
1LD,DB01099,"[46745, 46746, 46849, 46850, 46869, 46870]"
1MZ,DB02671,"[64954, 65721, 67331, 72967, 72968, 130886]"
1PL,DB06903,"[23514, 23520]"
1QQ,DB15833,[94360]
210,DB00282,"[4391, 4392, 4393, 4395, 4396, 4397, 4399, 4400, 4401, 4403, 4404, 4405, 4407, 4408, 4409, 4411, 4412, 4413, 4443, 4444, 4445, 4447, 4448, 4449, 4451, 4452, 4453, 4476, 4477, 4478, 4480, 4481, 4482, 4511, 4512, 4513, 4515, 4516, 4517, 80807, 80808, 80809, 80810, 80811, 80812]"
224,DB06914,[67159]
228,DB06916,[67597]
231,DB03254,[76233]
235,DB06921,"[116248, 116254, 116268]"
23N,DB06924,[116844]
243,DB06926,[68700]
24B,DB04448,"[107294, 107296]"
24I,DB06928,"[111443, 111444, 111445, 111446]"
283,DB06943,[115836]
294,DB06945,"[119313, 119321]"
2BH,DB04585,"[79510, 79511, 79512, 79513, 79514, 79515]"
2C5,DB06953,[106108]
2C7,DB06954,[119892]
2CC,DB06955,[68299]
2ED,DB06960,"[119037, 119063]"
2FH,DB03906,"[77256, 77263]"
2HA,DB01775,"[106515, 106516, 106517, 106518]"
2IH,DB06968,"[114759, 114760, 114776, 114777]"
2KT,DB04553,"[1517, 1518, 94343]"
2MR,DB02302,"[56566, 56769, 56855, 56906, 57206, 57214, 57223, 57231, 57239, 57247, 57255, 57263, 57271, 57279, 57287, 57295, 57303, 57311, 57319, 57393, 57407, 57415, 57423, 57431, 57439, 57447, 57455, 57463, 57471, 57479, 57487, 57495, 57503, 57511, 57519, 57527, 57535, 57543, 57551, 57559, 57567, 57575, 57583, 57591, 57599, 57607, 57615, 57623, 57665, 57673, 57681, 57707, 57742, 57750, 57815, 57889, 58184, 58202, 58210, 58227, 58249, 58269, 58281, 58289, 58297, 58352, 58413, 99154]"
2NI,DB06971,[110615]
2NO,DB09112,"[77274, 77284]"
2PG,DB01709,"[2498, 2499, 2515, 2516, 77813, 77814, 79009, 79024, 79025]"
2SK,DB06984,[113159]
2TN,DB06987,[22971]
2TY,DB06988,"[9231, 9232, 10442, 12006, 12007, 12008, 12009, 12078, 12079, 14807, 14808, 14811, 14812, 14817, 14818, 14827, 14828, 14833, 14834, 14839, 14840, 14843, 14844, 14857, 14858]"
2UO,DB06693,[71931]
2VQ,DB12741,[132970]
327,DB07001,"[64034, 64035]"
328,DB07002,"[68857, 68858, 68878, 68879]"
329,DB07003,"[68859, 68860, 68897, 68898]"
332,DB07007,"[68868, 68869, 68888, 68889]"
333,DB07008,"[67618, 67619]"
342,DB07011,"[67634, 67635]"
347,DB07013,"[116260, 116272, 116278, 116295]"
37A,DB07026,[114431]
