drug,observed,mean_null,p_value,log2_enrichment,z_score,p_adjusted,log10_p
DB03247,1,1.226633581472291,1.0,-0.294704353205507,-0.39405823504155807,1.0,-0.0
DB01702,16,1.11336717428088,0.0008453085376162299,3.8450705464422907,35.762750263914086,0.0021704670162175344,2.663446809587345
DB03147,3,1.7275497113534317,0.1781305114638448,0.7962352750331265,1.162600399118302,0.19100741590701428,0.7189497708414252
DB07918,6,1.2163983526769,0.001122754491017964,2.302346733026783,8.57653544238603,0.002700679721637805,2.568526916505928
DB03516,7,1.0361111111111112,0.002770083102493075,2.756176198132041,21.968865091297825,0.004810485777987974,2.317811064988537
DB05667,9,1.0234375,0.0038910505836575876,3.136501999904862,45.524139927113175,0.006503352149211742,2.186862728797157
DB00357,1,1.0,1.0,0.0,inf,1.0,-0.0
DB00648,4,1.0954106280193237,0.0024125452352231603,1.8685282169708028,7.64687521151154,0.004473710666532623,2.349332106960795
DB02761,18,1.0421195652173914,0.0013568521031207597,4.110404189996392,74.9329227010161,0.003000244401931618,2.522843365918026
DB03317,3,1.2078531796841656,0.04735494880546075,1.312517401865047,3.24243527393944,0.05155462316435482,1.2877323832468066
DB03469,3,1.0303030303030303,0.008620689655172414,1.5418937788292701,10.098651326820313,0.012178434592227696,1.9144085320355875
DB00157,59,2.8351685775911,0.00011350737797956867,4.379208529776668,30.21149151083064,0.0008246467454250637,3.0837320506833925
DB04912,9,1.0644295302013422,0.0013404825737265416,3.079844561087858,26.884950483399255,0.0029825737265415553,2.5254088121557183
DB11994,32,1.1389811738648947,0.0005534034311012728,4.812256098955924,70.09117229756738,0.0015156482163460106,2.8194015872450717
DB12319,3,1.0,0.018867924528301886,1.584962500721156,inf,0.022379380795222382,1.6501519339353867
DB00155,11,1.0148698884758365,0.003703703703703704,3.4381368402740686,67.19200813673311,0.006219426974143956,2.2062496271148637
DB01997,11,1.0148698884758365,0.003703703703703704,3.4381368402740686,67.19200813673311,0.006219426974143956,2.2062496271148637
DB01686,5,1.0,0.0072992700729927005,2.321928094887362,inf,0.010872552912072809,1.9636684701316693
DB07388,5,1.0,0.0072992700729927005,2.321928094887362,inf,0.010872552912072809,1.9636684701316693
DB03305,11,1.0148698884758365,0.003703703703703704,3.4381368402740686,67.19200813673311,0.006219426974143956,2.2062496271148637
DB00125,5,1.0303687635574836,0.0021645021645021645,2.2787673320983903,19.264225194396623,0.004160822814399252,2.380820777926615
DB03100,5,1.0,0.0072992700729927005,2.321928094887362,inf,0.010872552912072809,1.9636684701316693
DB01110,5,1.0333333333333334,0.0023752969121140144,2.2746223801090055,18.39340659430288,0.004473710666532623,2.349332106960795
DB03144,31,1.375522241336938,0.0002457002457002457,4.494216843064933,39.836740198511016,0.0012147848875300284,2.9155006195387094
DB09237,5,1.0,0.0072992700729927005,2.321928094887362,inf,0.010872552912072809,1.9636684701316693
DB02335,11,1.0148698884758365,0.003703703703703704,3.4381368402740686,67.19200813673311,0.006219426974143956,2.2062496271148637
DB02234,5,1.0,0.0072992700729927005,2.321928094887362,inf,0.010872552912072809,1.9636684701316693
DB04534,5,1.0,0.0072992700729927005,2.321928094887362,inf,0.010872552912072809,1.9636684701316693
DB18267,11,2.959103199639477,0.00597048552438887,1.8942716067922323,4.105502744642668,0.00961761469087076,2.0169326259917417
DB02207,11,1.0148698884758365,0.003703703703703704,3.4381368402740686,67.19200813673311,0.006219426974143956,2.2062496271148637
DB02044,11,1.0148698884758365,0.003703703703703704,3.4381368402740686,67.19200813673311,0.006219426974143956,2.2062496271148637
DB05252,5,1.0,0.0072992700729927005,2.321928094887362,inf,0.010872552912072809,1.9636684701316693
DB03910,5,1.0,0.0072992700729927005,2.321928094887362,inf,0.010872552912072809,1.9636684701316693
DB01821,3,1.0192307692307692,0.01904761904761905,1.5574817642990493,10.14889156509222,0.022379380795222382,1.6501519339353867
DB03707,3,1.0192307692307692,0.01904761904761905,1.5574817642990493,10.14889156509222,0.022379380795222382,1.6501519339353867
DB02077,3,1.0192307692307692,0.01904761904761905,1.5574817642990493,10.14889156509222,0.022379380795222382,1.6501519339353867
DB14511,3,8.391801142628044,0.9659250350771698,-1.4840179905944644,-1.3137812480929678,1.0,-0.0
DB02027,3,1.0192307692307692,0.01904761904761905,1.5574817642990493,10.14889156509222,0.022379380795222382,1.6501519339353867
DB04223,3,1.0192307692307692,0.01904761904761905,1.5574817642990493,10.14889156509222,0.022379380795222382,1.6501519339353867
DB08019,3,1.0192307692307692,0.01904761904761905,1.5574817642990493,10.14889156509222,0.022379380795222382,1.6501519339353867
DB08018,3,1.0192307692307692,0.01904761904761905,1.5574817642990493,10.14889156509222,0.022379380795222382,1.6501519339353867
DB02644,3,1.0,0.00980392156862745,1.584962500721156,inf,0.013000950029293874,1.886024910969721
DB07405,3,1.0,0.00980392156862745,1.584962500721156,inf,0.013000950029293874,1.886024910969721
DB03449,3,1.0,0.00980392156862745,1.584962500721156,inf,0.013000950029293874,1.886024910969721
DB07002,3,1.0,0.00980392156862745,1.584962500721156,inf,0.013000950029293874,1.886024910969721
DB11837,2,1.0,0.04,1.0,inf,0.04395061728395062,1.3570350209057747
DB09517,352,6.164448477515628,0.00010081661457808247,5.835459793651694,102.6231690930952,0.0008246467454250637,3.0837320506833925
DB14533,397,52.9668,9.999000099990002e-05,2.90597875170195,24.85418606167309,0.0008246467454250637,3.0837320506833925
DB08486,352,3.4672577716055977,0.00010681478316599017,6.665636521642874,155.86988873028093,0.0008246467454250637,3.0837320506833925
DB01593,397,63.2295,9.999000099990002e-05,2.650469291100045,21.455703160894345,0.0008246467454250637,3.0837320506833925
DB13995,366,25.3268,9.999000099990002e-05,3.8531069370043807,40.061293758985485,0.0008246467454250637,3.0837320506833925
DB06154,352,3.4672577716055977,0.00010681478316599017,6.665636521642874,155.86988873028093,0.0008246467454250637,3.0837320506833925
DB09112,357,3.545909139270135,0.00010638297872340425,6.653624695080663,154.97270063694833,0.0008246467454250637,3.0837320506833925
DB14487,397,63.2295,9.999000099990002e-05,2.650469291100045,21.455703160894345,0.0008246467454250637,3.0837320506833925
DB08077,352,3.4672577716055977,0.00010681478316599017,6.665636521642874,155.86988873028093,0.0008246467454250637,3.0837320506833925
DB08632,352,3.4672577716055977,0.00010681478316599017,6.665636521642874,155.86988873028093,0.0008246467454250637,3.0837320506833925
DB00893,366,25.3268,9.999000099990002e-05,3.8531069370043807,40.061293758985485,0.0008246467454250637,3.0837320506833925
DB07427,352,3.4672577716055977,0.00010681478316599017,6.665636521642874,155.86988873028093,0.0008246467454250637,3.0837320506833925
DB02126,352,3.4672577716055977,0.00010681478316599017,6.665636521642874,155.86988873028093,0.0008246467454250637,3.0837320506833925
DB09130,352,28.3818,9.999000099990002e-05,3.632537434396414,35.5169565491232,0.0008246467454250637,3.0837320506833925
DB14548,397,52.9668,9.999000099990002e-05,2.90597875170195,24.85418606167309,0.0008246467454250637,3.0837320506833925
DB07428,352,3.4672577716055977,0.00010681478316599017,6.665636521642874,155.86988873028093,0.0008246467454250637,3.0837320506833925
DB07645,352,3.4672577716055977,0.00010681478316599017,6.665636521642874,155.86988873028093,0.0008246467454250637,3.0837320506833925
DB09147,352,6.164448477515628,0.00010081661457808247,5.835459793651694,102.6231690930952,0.0008246467454250637,3.0837320506833925
DB08262,352,3.4672577716055977,0.00010681478316599017,6.665636521642874,155.86988873028093,0.0008246467454250637,3.0837320506833925
DB01942,25,10.137282369421653,0.010905452726363181,1.3022571523734314,3.1501309728639173,0.014221029928883855,1.847068949581393
DB07621,2,1.0347826086956522,0.030303030303030304,0.9506722876364317,4.275560247530967,0.033712121212121214,1.4722139202249183
DB00951,6,1.1163179916317991,0.0008361204013377926,2.426214452404682,12.22097788367403,0.0021704670162175344,2.663446809587345
DB14011,38,2.7358688066992323,0.00011629259216187928,3.795928463213352,19.346321028398545,0.0008246467454250637,3.0837320506833925
DB07705,2,1.0084033613445378,0.016666666666666666,0.987927167699425,10.862780491200214,0.020112994350282486,1.6965232683889315
DB03435,1,1.0745283018867924,1.0,-0.1037034822575502,-0.2135454931367784,1.0,-0.0
DB02342,2,1.0142857142857142,0.028169014084507043,0.9795358974402845,8.306623862918075,0.03244918421292498,1.4887962170848317
DB16832,1,1.0,1.0,0.0,inf,1.0,-0.0
DB03148,8,1.104089219330855,0.0007429420505200594,2.8571432417558587,17.645073666134557,0.001973786343172695,2.7046998602798906
DB01026,3,1.0,0.014285714285714285,1.584962500721156,inf,0.01765873015873016,1.7530405298006124
