MBS id 1	Ligand	Species	PDB entry	Name	Uniprot	EC	MBS id 2	Ligand	Species	PDB entry	Name	Uniprot	EC	Global seq identity	E value (local seq alignment)	RMSD	
25616	FE	Bacteriophage phi92	3PQH	gene product 138	I7HXF9	None	44795	FE	Enterobacteria phage P2	3AQJ	Baseplate assembly protein V	P31340	None	19.3333333333333	10	0.108190880776455	
25616	FE	Bacteriophage phi92	3PQH	gene product 138	I7HXF9	None	25803	FE	Enterobacteria phage P2	3QR7	Baseplate assembly protein V	P31340	None	21.2121212121212	10	0.137536211548803	
15350	CU	Pyrobaculum aerophilum (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827)	6K3D	Multicopper oxidase	Q8ZWA8	1.10.3.2	15365	CU	Zea mays	6KLJ	Laccase	Q2PAJ1	1.10.3.2	18.6206896551724	0.15	0.161861196508142	
27539	FE	Pseudomonas sp. C18	4HM7	Naphthalene 1,2-dioxygenase subunit alpha	P0A111	1.14.12.12	31208	FE	Pseudomonas putida	6ICQ	Methylxanthine N1-demethylase NdmA	H9N289	1.14.13.178	19.1897654584222	0.035	0.17036156071989	
27489	FE	Pseudomonas sp. C18	4HM3	Naphthalene 1,2-dioxygenase subunit alpha	P0A111	1.14.12.12	31208	FE	Pseudomonas putida	6ICQ	Methylxanthine N1-demethylase NdmA	H9N289	1.14.13.178	19.1897654584222	0.035	0.174265631260704	
18709	CU	Saccharomyces cerevisiae	2JCW	CU/ZN SUPEROXIDE DISMUTASE	P00445	1.15.1.1	16123	CU	Salmonella typhimurium	6VBS	Superoxide dismutase [Cu-Zn]	P0CW86	1.15.1.1	24.1379310344828	0.0015	0.184983305599024	
7595	CU	Saccharomyces cerevisiae	1F1G	COPPER-ZINC SUPEROXIDE DISMUTASE	P00445	1.15.1.1	14908	CU	Salmonella typhimurium (strain 4/74)	6D52	Superoxide dismutase [Cu-Zn] 1	E8XDJ8	1.15.1.1	24	0.0014	0.185485546834123	
31208	FE	Pseudomonas putida	6ICQ	Methylxanthine N1-demethylase NdmA	H9N289	1.14.13.178	20327	FE	Pseudomonas putida	1EG9	PROTEIN (NAPHTHALENE 1,2-DIOXYGENASE ALPHA SUBUNIT)	P0A110	1.14.12.12	19.1897654584222	0.013	0.18775914097812	
121762	ZN	Homo sapiens	3HYG	A disintegrin and metalloproteinase with thrombospondin motifs 5	Q9UNA0	3.4.24	124161	ZN	Homo sapiens	3O64	TACE	P78536	3.4.24.86	22.8260869565217	0.25	0.189900254334234	
18709	CU	Saccharomyces cerevisiae	2JCW	CU/ZN SUPEROXIDE DISMUTASE	P00445	1.15.1.1	14908	CU	Salmonella typhimurium (strain 4/74)	6D52	Superoxide dismutase [Cu-Zn] 1	E8XDJ8	1.15.1.1	24.1379310344828	0.0015	0.195353916115982	
7595	CU	Saccharomyces cerevisiae	1F1G	COPPER-ZINC SUPEROXIDE DISMUTASE	P00445	1.15.1.1	16123	CU	Salmonella typhimurium	6VBS	Superoxide dismutase [Cu-Zn]	P0CW86	1.15.1.1	24	0.0014	0.19552469289695	
22255	FE	COMAMONAS SP.	2BMO	OXYGENASE-ALPHA NBDO	Q8RTL4	None	31208	FE	Pseudomonas putida	6ICQ	Methylxanthine N1-demethylase NdmA	H9N289	1.14.13.178	19.3548387096774	0.0043	0.200447320239423	
27489	FE	Pseudomonas sp. C18	4HM3	Naphthalene 1,2-dioxygenase subunit alpha	P0A111	1.14.12.12	50734	FE	Comamonas testosteroni (strain DSM 14576 / KF-1)	7FJL	Rieske (2Fe-2S) domain protein	B7WQT1	None	18.4890656063618	0.32	0.20208140273034	
22268	FE	COMAMONAS SP.	2BMQ	OXYGENASE-ALPHA NBDO	Q8RTL4	None	31208	FE	Pseudomonas putida	6ICQ	Methylxanthine N1-demethylase NdmA	H9N289	1.14.13.178	19.3548387096774	0.0043	0.203918991635713	
20867	FE	PSEUDOMONAS PUTIDA	1O7H	NAPHTHALENE 1,2-DIOXYGENASE ALPHA SUBUNIT	P0A110	1.14.12.12	31208	FE	Pseudomonas putida	6ICQ	Methylxanthine N1-demethylase NdmA	H9N289	1.14.13.178	19.1897654584222	0.035	0.204139442349592	
27489	FE	Pseudomonas sp. C18	4HM3	Naphthalene 1,2-dioxygenase subunit alpha	P0A111	1.14.12.12	31181	FE	Pseudomonas putida	6ICL	Methylxanthine N3-demethylase NdmB	H9N290	1.14.13.179	16.3934426229508	3.1	0.207959286010521	
128780	ZN	HOMO SAPIENS	4COS	PROTEIN KINASE C-BINDING PROTEIN 1	Q9ULU4	None	133474	ZN	Homo sapiens	4O64	Lysine-specific demethylase 2B	Q8NHM5	1.14.11.27	10.2102102102102	10	0.210701965810537	
97345	ZN	Homo sapiens	3AVS	Lysine-specific demethylase 6A	O15550	1.14.11	126080	ZN	Plasmodium falciparum 3D7	3SUB	ADP-ribosylation factor GTPase-activating protein	Q8I4Y5	None	9.03954802259887	10	0.21236369228487	
118370	ZN	HOMO SAPIENS	2Y43	E3 UBIQUITIN-PROTEIN LIGASE RAD18	Q9NS91	6.3.2	134582	ZN	Mus musculus	4QPL	E3 ubiquitin-protein ligase RNF146	Q9CZW6	6.3.2	12.1387283236994	0.6	0.215558547972515	
118703	ZN	Escherichia coli	2Z26	Dihydroorotase	P05020	3.5.2.3	128612	ZN	HOMO SAPIENS	4C6J	CAD PROTEIN	P27708	3.5.2.3	19.5804195804196	5.9	0.217137767847987	
117596	ZN	BOTHROPS ASPER	2W15	ZINC METALLOPROTEINASE BAP1	P83512	3.4.24	124161	ZN	Homo sapiens	3O64	TACE	P78536	3.4.24.86	20.9558823529412	0.16	0.21867933029744	
27539	FE	Pseudomonas sp. C18	4HM7	Naphthalene 1,2-dioxygenase subunit alpha	P0A111	1.14.12.12	31181	FE	Pseudomonas putida	6ICL	Methylxanthine N3-demethylase NdmB	H9N290	1.14.13.179	16.3934426229508	3.1	0.219273057059158	
44795	FE	Enterobacteria phage P2	3AQJ	Baseplate assembly protein V	P31340	None	50240	FE	Enterobacteria phage T4	6P2A	CHIMERA OF BACTERIOPHAGE OBP GP146 AND A T4 GP5	G9IA38	3.2.1.17	18.1208053691275	10	0.219749610496018	
55326	FE	Ruegeria sp. TM1040	3N0Q	Putative aromatic-ring hydroxylating dioxygenase	Q1GMC3	None	50734	FE	Comamonas testosteroni (strain DSM 14576 / KF-1)	7FJL	Rieske (2Fe-2S) domain protein	B7WQT1	None	16.2105263157895	2.4	0.220266464055109	
27539	FE	Pseudomonas sp. C18	4HM7	Naphthalene 1,2-dioxygenase subunit alpha	P0A111	1.14.12.12	50734	FE	Comamonas testosteroni (strain DSM 14576 / KF-1)	7FJL	Rieske (2Fe-2S) domain protein	B7WQT1	None	18.4890656063618	0.32	0.223368369639428	
122368	ZN	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	3JZE	Dihydroorotase	P06204	3.5.2.3	128612	ZN	HOMO SAPIENS	4C6J	CAD PROTEIN	P27708	3.5.2.3	18.6252771618625	10	0.225521361715248	
31087	FE	Pseudomonas putida	6ICM	Methylxanthine N1-demethylase NdmA	H9N289	1.14.13.178	20327	FE	Pseudomonas putida	1EG9	PROTEIN (NAPHTHALENE 1,2-DIOXYGENASE ALPHA SUBUNIT)	P0A110	1.14.12.12	18.9765458422175	0.013	0.226657391584309	
50734	FE	Comamonas testosteroni (strain DSM 14576 / KF-1)	7FJL	Rieske (2Fe-2S) domain protein	B7WQT1	None	20327	FE	Pseudomonas putida	1EG9	PROTEIN (NAPHTHALENE 1,2-DIOXYGENASE ALPHA SUBUNIT)	P0A110	1.14.12.12	18.4890656063618	0.41	0.227268326328482	
55415	FE	Pyrobaculum calidifontis	3TBO	Zinc finger, CDGSH-type domain protein	A3MW14	None	56499	FE	Caenorhabditis elegans	7YVZ	CDGSH iron-sulfur domain-containing protein 1 (CISD-1/mitoNEET)	A7LPG5	None	18.1818181818182	0.2	0.228202228341969	
22255	FE	COMAMONAS SP.	2BMO	OXYGENASE-ALPHA NBDO	Q8RTL4	None	46561	FE	Janthinobacterium	4NBG	Terminal oxygenase component of carbazole	Q84II6	1.14.12.22	19.9124726477024	1.1	0.230930061774714	
20867	FE	PSEUDOMONAS PUTIDA	1O7H	NAPHTHALENE 1,2-DIOXYGENASE ALPHA SUBUNIT	P0A110	1.14.12.12	50734	FE	Comamonas testosteroni (strain DSM 14576 / KF-1)	7FJL	Rieske (2Fe-2S) domain protein	B7WQT1	None	18.4890656063618	0.32	0.231833082850663	
135068	ZN	Arabidopsis thaliana	4RQT	Alcohol dehydrogenase class-P	P06525	1.1.1.1	125084	ZN	Homo sapiens	3QMC	CpG-binding protein	Q9P0U4	None	6.64893617021277	10	0.232998901362315	
118703	ZN	Escherichia coli	2Z26	Dihydroorotase	P05020	3.5.2.3	128591	ZN	HOMO SAPIENS	4C6N	CAD PROTEIN	P27708	3.5.2.3	19.8135198135198	1	0.233272706525272	
25803	FE	Enterobacteria phage P2	3QR7	Baseplate assembly protein V	P31340	None	50240	FE	Enterobacteria phage T4	6P2A	CHIMERA OF BACTERIOPHAGE OBP GP146 AND A T4 GP5	G9IA38	3.2.1.17	19.496855345912	10	0.233393300360136	
98413	ZN	Homo sapiens	4IC3	E3 ubiquitin-protein ligase XIAP	P98170	6.3.2	127573	ZN	HOMO SAPIENS	3ZNI	E3 UBIQUITIN-PROTEIN LIGASE CBL-B	Q13191	6.3.2.19	7.08860759493671	0.0017	0.233858012554843	
22268	FE	COMAMONAS SP.	2BMQ	OXYGENASE-ALPHA NBDO	Q8RTL4	None	46561	FE	Janthinobacterium	4NBG	Terminal oxygenase component of carbazole	Q84II6	1.14.12.22	19.9124726477024	1.1	0.234863444159078	
56725	FE	Janthinobacterium sp. (strain J3)	7C3B	Ferredoxin reductase component of carbazole	Q84II0	None	57325	FE	Variovorax paradoxus	7YLR	Ferredoxin	C5CSP5	None	17.1662125340599	0.0011	0.235675636234709	
